Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,thread_title,poster_id,text,full_text,probabilidade,RelevÃ¢ncia,previsao_binaria
28442,28530,28530, This has to be one of the funniest skits about RE Village I've Watched ,killamch89,"   16 hours ago, Empire said:    Remember those days when you or your friend got a brand new game and either they or you would to each others house just to watch each other play the single player game.Â Donâ€™t let this distract you from the fact that Kurenai tried using genjutsu on Itachi.     Yeah, this brings back so many memories watching my friends play games at their house and sometimes playing alongside them as well.  ",hours ago empire said remember days friend got brand new game either would others house watch play single player game dont let distract fact kurenai tried using genjutsu itachi yeah brings back many memories watching friends play games house sometimes playing alongside well,0.0029930769326416,Baixa,0
19065,19101,19101, Why are retro games trending? ,killamch89,"   On 8/21/2021 at 5:11 PM, Empire said:    Because retro games are good. Great, Amazing of some of them. And somepeople love to experience games from all eras.Â Â it's about pick-up-and-play simplicity. I love old games becasue i can just sit down and play them. No cutscenes, no story, just gameplay and a solid challenge. Sometimes I just want to play a game.     That's not only it either - they just work right out of the box without needing a bunch of patches long after their release to make them a playable game.  ",pm empire said retro games good great amazing somepeople love experience games eras pickupandplay simplicity love old games becasue sit play cutscenes story gameplay solid challenge sometimes want play game thats either work right box without needing bunch patches long release make playable game,0.0031062975054913,Baixa,0
789,793,793, Twitch channels where chat controls the games ,Kane99,"   23 minutes ago, killamch89 said:    That's insane. Never knew these functions existed on certain Twitch channels. That definitely would drive a lot more engagement with the viewers of such streams and would see them coming back.     Just the other day a friend of mine showed me a twitch stream where you can literally play one of the new Pokemon games by entering commands in the chat. I wish I took down the twitch name, because I think the stream is still up and anyone can jump in to play. This could be a fun way to play games.Â   ",minutes ago killamch said thats insane never knew functions existed certain twitch channels definitely would drive lot engagement viewers streams would see coming back day friend mine showed twitch stream literally play one new pokemon games entering commands chat wish took twitch name think stream still anyone jump play could fun way play games,0.0031801933682513,Baixa,0
19068,19104,19104, Why are retro games trending? ,Heatman,"   On 8/21/2021 at 11:11 PM, Empire said:    Because retro games are good. Great, Amazing of some of them. And somepeople love to experience games from all eras.Â Â it's about pick-up-and-play simplicity. I love old games becasue i can just sit down and play them. No cutscenes, no story, just gameplay and a solid challenge. Sometimes I just want to play a game.     Yeah - It offers more realness and a better sense of connection unlike what we are familiar with now.Â   ",pm empire said retro games good great amazing somepeople love experience games eras pickupandplay simplicity love old games becasue sit play cutscenes story gameplay solid challenge sometimes want play game yeah offers realness better sense connection unlike familiar,0.0032120168775068,Baixa,0
22726,22772,22772, Feeling alienated by character changes ,StaceyPowers,"  @The Blackangel mentioned in another thread having an empty feeling sometimes in games after characters change a great deal from who they were. I've had this experience as well a few times. It can be true to life, but sad too. Have others felt the same way?  ",blackangel mentioned another thread empty feeling sometimes games characters change great deal ive experience well times true life sad others felt way,0.0032158484367033,Baixa,0
22727,22773,22773, Feeling alienated by character changes ,m76,"  Care to give examples? I'm not sure how one can be alienated by true to life changes?    3 hours ago, StaceyPowers said:    @The Blackangel mentioned in another thread having an empty feeling sometimes in games after characters change a great deal from who they were. I've had this experience as well a few times. It can be true to life, but sad too. Have others felt the same way?     Â   ",care give examples im sure one alienated true life changes hours ago staceypowers said blackangel mentioned another thread empty feeling sometimes games characters change great deal ive experience well times true life sad others felt way,0.003221159562326,Baixa,0
12591,12611,12611, Do you sometimes prefer to watch others game instead? ,Kane99,"  Do you guys like to sometimes watch others play video games instead of you? Maybe you want to watch your favorite lets players, or maybe you just want to watch a playthrough for a game you don't ever intend to play. Do you ever do anything like that? Or do you prefer to play the game yourself and experience it by your own hands? I don't mind watching others play, because I can't play every game, and I figure if I can at least watch some lets plays I can see games I never would have played.Â    I get why some wouldn't like it, but I think it's fine. As long as you enjoy it, why does it matter which way you view it?Â   ",guys like sometimes watch others play video games instead maybe want watch favorite lets players maybe want watch playthrough game dont ever intend play ever anything like prefer play game experience hands dont mind watching others play cant play every game figure least watch lets plays see games never would played get wouldnt like think fine long enjoy matter way view,0.0032452481409367,Baixa,0
959,963,963, Stupid choices in games ,Shortie,"   3 hours ago, Kane99 said:    I don't like when games give you a 50/50 pick. Pick this or that. Maybe give us more options instead of two that will decide the story for you. I think having more options to choose from, expands the story and gives you more to explore each playthrough too.Â    I can't think of anything off the top of my head, but I'll say I probably made stupid choices in games in the past, and regretted it because I probably should have done it a different way instead.Â      I agree. The amount of games I have played in the past that have had the option of two choices and you sit there and think to yourself ""why is there not more options"" and you often think of options that you would have like to see there but aren't. These kind of games that only give you two options often result in sometimes being quick games that you complete and you end up feeling disappointed with the game.Â   ",hours ago kane said dont like games give pick pick maybe give us options instead two decide story think options choose expands story gives explore playthrough cant think anything top head ill say probably made stupid choices games past regretted probably done different way instead agree amount games played past option two choices sit think options often think options would like see arent kind games give two options often result sometimes quick games complete end feeling disappointed game,0.0032692397328318,Baixa,0
21512,21558,21558, Who here clocks more video game hours than you ever expected? ,Shole,"  Well I never get surprised by it, but I do sometimes game more than I should. But I do some games that I can work online at the same time while playing them. Like TFT for example, the auto-chess game, which you can play and write articles online or such. I knew I'd game my whole life, as it is fantastic, and I will want my kids to play games ðŸ˜„  ",well never get surprised sometimes game games work online time playing like tft example autochess game play write articles online knew id game whole life fantastic want kids play games,0.0032738124094381,Baixa,0
5355,5364,5364, If there were no video games ,Kane99,"   5 hours ago, killamch89 said:    Movies are nice but I can only sit through 2 movies at most before I'm completely bored and I've never watched TV for more than 2-3 hours at a time.     We're all different though. For me, as of late I've been watching a couple movies a night. Sometimes 3. Watching with friends. I've also been binging Community again and I can't watch that show for hours on end.Â    But I imagine without video games, I would be watching even more. But I may also be leaving my house more. I just don't see myself watching TV and movies all day long every day haha.Â   ",hours ago killamch said movies nice sit movies im completely bored ive never watched tv hours time different though late ive watching couple movies night sometimes watching friends ive also binging community cant watch show hours end imagine without video games would watching even may also leaving house dont see watching tv movies day long every day haha,0.0033335483233656,Baixa,0
